q=68719476767 (bits=37), N=8192
s,model,trials,miss_rate,det_intra_only,det_sum_only,det_both,undetected
Fold s=27 | Protection={Intra } | Fault=Type1: randomize one element | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=27 | Protection={Intra } | Fault=Type2: randomize two elements | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=27 | Protection={Intra } | Fault=Type3: flip two bits in one element | Trials=10000 | MissRate=0.012500 | Det(IntraOnly)=9875 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=125
Fold s=27 | Protection={Intra } | Fault=Type4: flip one bit in two elements | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=28 | Protection={Intra } | Fault=Type1: randomize one element | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=28 | Protection={Intra } | Fault=Type2: randomize two elements | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=28 | Protection={Intra } | Fault=Type3: flip two bits in one element | Trials=10000 | MissRate=0.013600 | Det(IntraOnly)=9864 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=136
Fold s=28 | Protection={Intra } | Fault=Type4: flip one bit in two elements | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=29 | Protection={Intra } | Fault=Type1: randomize one element | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=29 | Protection={Intra } | Fault=Type2: randomize two elements | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=29 | Protection={Intra } | Fault=Type3: flip two bits in one element | Trials=10000 | MissRate=0.010200 | Det(IntraOnly)=9898 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=102
Fold s=29 | Protection={Intra } | Fault=Type4: flip one bit in two elements | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=30 | Protection={Intra } | Fault=Type1: randomize one element | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=30 | Protection={Intra } | Fault=Type2: randomize two elements | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=30 | Protection={Intra } | Fault=Type3: flip two bits in one element | Trials=10000 | MissRate=0.009400 | Det(IntraOnly)=9906 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=94
Fold s=30 | Protection={Intra } | Fault=Type4: flip one bit in two elements | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
